id,university,ranking, major, degree, decision, status, year, gpafin, grev, grem,gretot, grew, new_gre
2301,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2015,3.97,150,168,318,4.5,TRUE
2302,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2018,3.2,155,170,325,4.5,TRUE
2303,Purdue University,3.7,CS,Masters,Accepted,I,2016,3.6,164,168,332,4,TRUE
2304,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,I,2014,3.7,156,169,325,4,TRUE
2305,University Of Washington,4.5,CS,PhD,Rejected,I,2016,3.98,169,170,339,4,TRUE
2306,"University of California, Davis",3.3,CS,Masters,Accepted,I,2015,3.78,153,166,319,3,TRUE
2307,Cornell University,4.5,CS,PhD,Rejected,I,2014,3.74,155,164,319,3,TRUE
2308,Massachusetts Institute of Technology (MIT),5,CS,PhD,Rejected,I,2017,4,163,170,333,5,TRUE
2309,Stanford University,5,CS,PhD,Accepted,U,2016,3.97,167,170,337,5.5,TRUE
2310,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2017,3.57,163,155,318,4,TRUE
2311,"University Of California, Berkeley",5,CS,PhD,Accepted,U,2014,3.98,157,170,327,4.5,TRUE
2312,"University Of California, Irvine",3.4,CS,Masters,Rejected,I,2018,3.77,154,169,323,3.5,TRUE
2313,University Of Washington,4.5,CS,PhD,Accepted,I,2012,3.65,152,167,319,3.5,TRUE
2314,Arizona State University (ASU),3.1,CS,Masters,Accepted,U,2016,3.7,153,161,314,3.5,TRUE
2315,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,A,2017,3.49,162,161,323,5,TRUE
2316,Northeastern University (NEU),3,CS,Masters,Rejected,I,2013,3.3,142,168,310,3,TRUE
2317,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Rejected,A,2014,3.85,160,152,312,5.5,TRUE
2318,University of Chicago,3.4,CS,Masters,Accepted,U,2017,3.63,152,170,322,6,TRUE
2319,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2014,3.76,165,167,332,5.5,TRUE
2320,Harvard University,4,CS,PhD,Accepted,I,2017,3.98,152,170,322,3,TRUE
2321,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,PhD,Accepted,I,2018,3.38,155,167,322,3.5,TRUE
2322,Stanford University,5,CS,PhD,Accepted,U,2018,3.97,164,165,329,5,TRUE
2323,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,I,2015,3.86,156,165,321,4,TRUE
2324,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,U,2018,3.98,156,170,326,4,TRUE
2325,"University Of California, San Diego (UCSD)",4,CS,PhD,Rejected,I,2013,3.92,154,165,319,3.5,TRUE
2326,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2013,3.52,155,169,324,3.5,TRUE
2327,Stanford University,5,CS,Masters,Accepted,U,2015,3.84,163,170,333,3.5,TRUE
2328,"University Of California, San Diego (UCSD)",4,CS,PhD,Rejected,U,2017,3.5,151,159,310,3.5,TRUE
2329,"University Of Minnesota, Twin Cities",3.5,CS,Masters,Rejected,I,2014,3.66,161,158,319,3.5,TRUE
2330,University Of Wisconsin - Madison,4.1,CS,PhD,Rejected,I,2016,3.74,154,163,317,3.5,TRUE
2331,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2016,3.6,160,170,330,4,TRUE
2332,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,U,2012,3.99,168,162,330,4.5,TRUE
2333,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2017,3.83,159,165,324,3,TRUE
2334,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,A,2016,3.4,163,163,326,4.5,TRUE
2335,"University Of California, Berkeley",5,CS,PhD,Rejected,A,2017,3.5,167,167,334,4,TRUE
2336,Stanford University,5,CS,Masters,Rejected,A,2015,3.76,162,170,332,4.5,TRUE
2337,North Carolina State University,3.1,CS,PhD,Accepted,U,2017,3.7,163,166,329,3.5,TRUE
2338,Columbia University,4.1,CS,Masters,Accepted,U,2015,3.65,156,163,319,4,TRUE
2339,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,I,2016,4,152,160,312,3.5,TRUE
2340,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2014,3.89,169,159,328,3.5,TRUE
2341,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2016,3.9,152,163,315,4.5,TRUE
2342,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2017,3.68,147,156,303,3,TRUE
2343,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,A,2018,3.7,166,166,332,5,TRUE
2344,"University Of California, San Diego (UCSD)",4,CS,PhD,Accepted,A,2016,3.78,159,159,318,4,TRUE
2345,University of Texas at Austin,4.3,CS,Masters,Rejected,A,2017,3.67,155,157,312,4,TRUE
2346,Harvard University,4,CS,PhD,Rejected,I,2014,3.5,142,169,311,4,TRUE
2347,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2015,3.94,161,168,329,4,TRUE
2348,Stanford University,5,CS,Masters,Rejected,A,2017,2.93,161,159,320,5,TRUE
2349,Georgia Institute of Technology (Georgia Tech),4.4,CS,PhD,Rejected,I,2015,3.4,155,168,323,3,TRUE
2350,Princeton University,4.4,CS,PhD,Rejected,I,2013,3.67,155,166,321,3,TRUE
2351,Princeton University,4.4,CS,Masters,Accepted,A,2014,4,170,170,340,5.5,TRUE
2352,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2013,3.84,157,167,324,4.5,TRUE
2353,"University Of Minnesota, Twin Cities",3.5,CS,PhD,Accepted,U,2015,3.8,161,167,328,4,TRUE
2354,University of Florida (UF),3,CS,Masters,Rejected,I,2015,3.7,154,163,317,3.5,TRUE
2355,University Of Washington,4.5,CS,PhD,Rejected,I,2016,2,163,167,330,3,TRUE
2356,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2012,3.44,150,159,309,4,TRUE
2357,"University Of California, Irvine",3.4,CS,PhD,Accepted,I,2016,3.8,154,168,322,3.5,TRUE
2358,Stanford University,5,CS,PhD,Rejected,A,2013,3.66,169,166,335,4.5,TRUE
2359,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2015,3.76,163,163,326,4.5,TRUE
2360,"University Of Minnesota, Twin Cities",3.5,CS,Masters,Accepted,I,2014,3.3,158,161,319,4.5,TRUE
2361,Ohio State University (OSU),3.4,CS,Masters,Rejected,I,2015,3.6,158,164,322,3.5,TRUE
2362,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,A,2012,3.53,156,170,326,4,TRUE
2363,Columbia University,4.1,CS,PhD,Accepted,I,2015,3.85,152,169,321,3,TRUE
2364,Stanford University,5,CS,Masters,Accepted,A,2013,3.81,169,170,339,5,TRUE
2365,Columbia University,4.1,CS,Masters,Rejected,U,2016,3.4,154,166,320,4,TRUE
2366,University of Chicago,3.4,CS,Masters,Rejected,A,2014,3.4,164,157,321,4,TRUE
2367,Massachusetts Institute of Technology (MIT),5,CS,PhD,Accepted,A,2017,3.76,165,165,330,4,TRUE
2368,"University Of Minnesota, Twin Cities",3.5,CS,Masters,Rejected,I,2018,3.8,148,165,313,4,TRUE
2369,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,PhD,Rejected,I,2013,3.08,149,167,316,4,TRUE
2370,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,I,2018,3.3,151,168,319,4,TRUE
2371,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,A,2015,3.69,167,164,331,5,TRUE
2372,University Of Southern California (USC),3.7,CS,PhD,Rejected,I,2014,4,154,164,318,4,TRUE
2373,Stanford University,5,CS,PhD,Rejected,I,2015,3.85,152,169,321,3,TRUE
2374,Princeton University,4.4,CS,Masters,Rejected,I,2016,3.49,170,155,325,3,TRUE
2375,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2018,3.5,169,150,319,3,TRUE
2376,Princeton University,4.4,CS,Masters,Rejected,I,2015,3.9,152,166,318,3.5,TRUE
2377,Cornell University,4.5,CS,PhD,Rejected,I,2018,3.5,154,161,315,3.5,TRUE
2378,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,I,2017,3.91,162,170,332,4,TRUE
2379,Carnegie Mellon University (CMU),5,CS,PhD,Accepted,A,2017,3.95,161,165,326,5,TRUE
2380,University Of Virginia (UVA),3.4,CS,PhD,Rejected,I,2015,2.7,148,166,314,3.5,TRUE
2381,University Of California Los Angeles (UCLA),4.1,CS,Masters,Rejected,I,2016,3.5,153,166,319,3,TRUE
2382,New York University (NYU),3.4,CS,Masters,Accepted,I,2015,3.4,150,167,317,4,TRUE
2383,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2015,3.9,163,170,333,5,TRUE
2384,Princeton University,4.4,CS,PhD,Accepted,I,2017,3.56,170,162,332,4,TRUE
2385,Purdue University,3.7,CS,Masters,Accepted,I,2016,3.9,155,170,325,4,TRUE
2386,New York University (NYU),3.4,CS,Masters,Accepted,I,2016,3.22,159,165,324,4,TRUE
2387,"University of Illinois, Urbana-Champaign (UIUC)",2.6,CS,Masters,Rejected,A,2014,3.85,155,166,321,4,TRUE
2388,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,U,2016,3.85,159,168,327,4,TRUE
2389,University Of Washington,4.5,CS,PhD,Rejected,U,2013,3.55,166,165,331,4,TRUE
2390,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2018,3.88,159,169,328,4,TRUE
2391,Cornell University,4.5,CS,PhD,Rejected,A,2018,4,165,170,335,5.5,TRUE
2392,Cornell University,4.5,CS,PhD,Rejected,A,2018,3.94,159,166,325,5,TRUE
2393,State University of New York (SUNY) at Buffalo,2.7,CS,Masters,Accepted,I,2015,3.96,147,170,317,3,TRUE
2394,University of Texas at Austin,4.3,CS,Masters,Rejected,A,2014,3.42,162,165,327,4,TRUE
2395,North Carolina State University,3.1,CS,Masters,Accepted,I,2015,3.39,160,170,330,4.5,TRUE
2396,"University Of California, Santa Barbara (UCSB)",3.3,CS,PhD,Rejected,I,2015,3.5,159,158,317,4,TRUE
2397,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Rejected,I,2015,3.6,154,162,316,4,TRUE
2398,"University Of Colorado, Boulder",3.2,CS,Masters,Accepted,I,2015,3.2,150,170,320,3,TRUE
2399,Brown University,3.6,CS,PhD,Accepted,I,2017,3.8,166,170,336,4.5,TRUE
2400,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,A,2013,3.65,160,168,328,4.5,TRUE
2401,University of Texas at Austin,4.3,CS,PhD,Accepted,I,2016,3.8,160,170,330,4.5,TRUE
2402,Princeton University,4.4,CS,PhD,Rejected,A,2018,3.98,160,162,322,5,TRUE
2403,"University Of California, Irvine",3.4,CS,PhD,Accepted,I,2012,3.25,149,162,311,3.5,TRUE
2404,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2017,3.5,156,170,326,4,TRUE
2405,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2017,3.61,162,165,327,4,TRUE
2406,"University of Massachusetts, Amherst (UMass)",3.7,CS,PhD,Accepted,I,2016,3.64,155,164,319,3.5,TRUE
2407,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Rejected,U,2018,3.82,167,162,329,5,TRUE
2408,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Rejected,I,2014,3.6,156,170,326,4,TRUE
2409,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2016,3.6,159,170,329,3.5,TRUE
2410,"University Of California, Santa Barbara (UCSB)",3.3,CS,PhD,Accepted,I,2013,3.9,162,166,328,4.5,TRUE
2411,University Of Maryland,4,CS,PhD,Accepted,I,2015,3.8,146,163,309,3,TRUE
2412,Purdue University,3.7,CS,Masters,Rejected,I,2014,3.3,161,161,322,4,TRUE
2413,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2014,3.89,161,164,325,4.5,TRUE
2414,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,A,2016,3.68,161,168,329,4,TRUE
2415,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,Masters,Accepted,I,2017,4,168,170,338,4.5,TRUE
2416,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,A,2013,3.8,169,170,339,4.5,TRUE
2417,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,A,2017,3.7,159,166,325,4.5,TRUE
2418,"University of Massachusetts, Amherst (UMass)",3.7,CS,PhD,Rejected,I,2013,2.9,150,161,311,3,TRUE
2419,Columbia University,4.1,CS,Masters,Accepted,I,2017,3.7,157,163,320,4,TRUE
2420,North Carolina State University,3.1,CS,Masters,Rejected,I,2014,3.6,152,165,317,3,TRUE
2421,University of Utah,3.1,CS,PhD,Accepted,I,2018,3.92,152,170,322,3,TRUE
2422,Yale University,3.7,CS,Masters,Rejected,A,2016,3.64,159,168,327,4,TRUE
2423,University Of Washington,4.5,CS,Masters,Accepted,A,2018,3.92,161,166,327,4.5,TRUE
2424,University Of Maryland,4,CS,PhD,Rejected,A,2012,3.7,148,161,309,4.5,TRUE
2425,University Of Washington,4.5,CS,PhD,Rejected,A,2012,3.59,160,166,326,5.5,TRUE
2426,Brown University,3.6,CS,PhD,Rejected,I,2017,3.77,150,167,317,3,TRUE
2427,Stanford University,5,CS,PhD,Accepted,A,2012,3.87,154,167,321,4,TRUE
2428,University Of California Los Angeles (UCLA),4.1,CS,Masters,Accepted,I,2018,3.7,165,167,332,5,TRUE
2429,University Of Washington,4.5,CS,PhD,Rejected,A,2017,3.5,167,167,334,4,TRUE
2430,Rice University,3.7,CS,Masters,Rejected,A,2017,3.95,157,157,314,3.5,TRUE
2431,Cornell University,4.5,CS,Masters,Accepted,I,2016,3.8,166,170,336,4.5,TRUE
2432,Cornell University,4.5,CS,PhD,Rejected,I,2015,3.81,170,170,340,5,TRUE
2433,Rice University,3.7,CS,Masters,Accepted,U,2016,3.86,162,170,332,3,TRUE
2434,North Carolina State University,3.1,CS,Masters,Accepted,U,2018,3.87,167,168,335,4,TRUE
2435,University of Utah,3.1,CS,PhD,Rejected,A,2014,3.66,167,163,330,5.5,TRUE
2436,"University of Illinois, Urbana-Champaign (UIUC)",4.6,CS,PhD,Accepted,I,2017,4,155,167,322,4,TRUE
2437,University of Texas at Austin,4.3,CS,Masters,Accepted,I,2013,3.84,160,165,325,3,TRUE
2438,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2015,3.38,159,170,329,4,TRUE
2439,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2018,3.5,165,155,320,4,TRUE
2440,Virginia Polytechnic And State University (Virginia Tech),3.2,CS,Masters,Accepted,I,2017,3.6,162,168,330,4,TRUE
2441,University of Chicago,3.4,CS,Masters,Accepted,A,2015,3.67,162,170,332,4.5,TRUE
2442,Cornell University,4.5,CS,Masters,Accepted,U,2018,3.9,169,156,325,4,TRUE
2443,Columbia University,4.1,CS,PhD,Rejected,U,2015,3.92,159,166,325,4.5,TRUE
2444,"University of Massachusetts, Amherst (UMass)",3.7,CS,PhD,Rejected,A,2018,3.92,169,169,338,5,TRUE
2445,Oregon State University,2.5,CS,PhD,Rejected,I,2018,3.51,145,168,313,3,TRUE
2446,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2013,3.84,160,165,325,3,TRUE
2447,Brown University,3.6,CS,Masters,Accepted,I,2016,4,160,167,327,5,TRUE
2448,University Of Wisconsin - Madison,4.1,CS,PhD,Accepted,I,2014,4,160,168,328,4.5,TRUE
2449,Rice University,3.7,CS,Masters,Accepted,A,2017,3.84,159,169,328,4,TRUE
2450,Harvard University,4,CS,PhD,Rejected,I,2016,3.91,170,158,328,4,TRUE
2451,Columbia University,4.1,CS,Masters,Rejected,A,2017,3.4,166,165,331,4.5,TRUE
2452,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2018,3.82,168,155,323,4,TRUE
2453,State University of New York (SUNY) at Buffalo,2.7,CS,PhD,Accepted,I,2013,2.89,145,168,313,4,TRUE
2454,Arizona State University (ASU),3.1,CS,Masters,Accepted,I,2015,3.3,156,163,319,4,TRUE
2455,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2015,3.77,155,165,320,4,TRUE
2456,University Of Maryland,4,CS,Masters,Rejected,U,2018,3.11,157,164,321,4,TRUE
2457,Duke University,3.6,CS,PhD,Accepted,I,2016,3.88,154,168,322,3.5,TRUE
2458,University Of Virginia (UVA),3.4,CS,PhD,Rejected,I,2013,3.68,147,167,314,3,TRUE
2459,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2016,3.75,152,167,319,3.5,TRUE
2460,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2016,3.9,155,170,325,4,TRUE
2461,"University Of California, Irvine",3.4,CS,PhD,Accepted,I,2014,3.62,151,166,317,3.5,TRUE
2462,Stanford University,5,CS,PhD,Rejected,U,2018,3.4,144,163,307,3,TRUE
2463,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2016,3.63,152,170,322,3,TRUE
2464,Texas A&M,3.1,CS,PhD,Accepted,U,2016,3.95,147,158,305,3,TRUE
2465,University Of Maryland,4,CS,PhD,Accepted,I,2013,3.67,155,166,321,3,TRUE
2466,City College Of New York,5,CS,Masters,Accepted,I,2016,3.8,160,158,318,5.5,TRUE
2467,University Of Washington,4.5,CS,PhD,Rejected,I,2018,3.58,152,165,317,3.5,TRUE
2468,"University Of California, San Diego (UCSD)",4,CS,Masters,Rejected,I,2015,3,158,163,321,3,TRUE
2469,Cornell University,4.5,CS,Masters,Accepted,I,2012,3.6,165,165,330,5.5,TRUE
2470,Carnegie Mellon University (CMU),5,CS,PhD,Accepted,A,2017,4,169,170,339,5,TRUE
2471,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2017,3.77,164,170,334,4,TRUE
2472,University Of Wisconsin - Madison,4.1,CS,Masters,Accepted,I,2016,3.2,160,158,318,4.5,TRUE
2473,University of Pennsylvania (UPenn),3.8,CS,Masters,Rejected,A,2016,3.85,165,158,323,5,TRUE
2474,The University Of Arizona,3.1,CS,Masters,Accepted,I,2016,3.5,160,170,330,4,TRUE
2475,Princeton University,4.4,CS,Masters,Rejected,A,2015,3.78,162,167,329,4,TRUE
2476,"University Of California, Berkeley",5,CS,Masters,Rejected,I,2017,3.9,162,166,328,5,TRUE
2477,Columbia University,4.1,CS,PhD,Rejected,U,2013,3.7,155,168,323,4,TRUE
2478,Brown University,3.6,CS,Masters,Rejected,A,2016,3.26,155,161,316,4,TRUE
2479,University Of California Los Angeles (UCLA),4.1,CS,PhD,Rejected,I,2012,3.44,150,159,309,4,TRUE
2480,University Of Maryland,4,CS,PhD,Accepted,I,2012,3.54,147,166,313,3.5,TRUE
2481,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,A,2013,3.81,169,170,339,5,TRUE
2482,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Accepted,I,2016,4,159,170,329,4,TRUE
2483,Ohio State University (OSU),3.4,CS,Masters,Accepted,I,2013,3.9,163,165,328,4,TRUE
2484,"University Of California, Santa Barbara (UCSB)",3.3,CS,Masters,Rejected,I,2018,3.52,170,154,324,3,TRUE
2485,University Of Maryland,4,CS,PhD,Rejected,I,2012,4,151,160,311,3.5,TRUE
2486,University Of Southern California (USC),3.7,CS,Masters,Accepted,A,2017,3.93,164,162,326,5,TRUE
2487,Ohio State University (OSU),3.4,CS,Masters,Rejected,I,2013,3.3,154,159,313,3.5,TRUE
2488,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,I,2014,3.5,142,169,311,3,TRUE
2489,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2013,3.5,149,170,319,3.5,TRUE
2490,University Of Southern California (USC),3.7,CS,PhD,Accepted,A,2018,3.3,155,148,303,3.5,TRUE
2491,University of Texas at Austin,4.3,CS,PhD,Accepted,A,2013,3.8,165,163,328,4.5,TRUE
2492,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2017,3.7,165,170,335,4.5,TRUE
2493,"The University of Michigan, Ann Arbor",4.2,CS,PhD,Accepted,I,2017,3.85,155,162,317,3,TRUE
2494,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,A,2017,3.88,160,168,328,5,TRUE
2495,Stanford University,5,CS,PhD,Rejected,A,2014,3.72,164,170,334,4,TRUE
2496,"University Of California, San Diego (UCSD)",4,CS,PhD,Rejected,I,2014,3.8,160,165,325,3.5,TRUE
2497,Stanford University,5,CS,Masters,Accepted,U,2014,3.97,170,159,329,4.5,TRUE
2498,Purdue University,3.7,CS,Masters,Accepted,I,2017,3.66,161,170,331,4,TRUE
2499,Rice University,3.7,CS,PhD,Accepted,U,2018,3.9,151,168,319,3,TRUE
2500,Carnegie Mellon University (CMU),5,CS,PhD,Accepted,A,2018,3.9,170,165,335,5.5,TRUE
2501,Columbia University,4.1,CS,Masters,Accepted,I,2015,3.8,162,168,330,4.5,TRUE
2502,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2016,3.6,153,160,313,4,TRUE
2503,"University of Illinois, Chicago (UIC)",2.6,CS,Masters,Accepted,I,2014,3.7,153,160,313,4,TRUE
2504,University Of California Los Angeles (UCLA),4.1,CS,Masters,Rejected,I,2015,3.74,154,167,321,3.5,TRUE
2505,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,I,2013,3.6,158,163,321,4,TRUE
2506,"University Of California, Berkeley",5,CS,PhD,Accepted,I,2015,3.8,145,164,309,3,TRUE
2507,University of Texas at Austin,4.3,CS,Masters,Accepted,I,2013,3.6,158,163,321,4,TRUE
2508,Columbia University,4.1,CS,Masters,Accepted,U,2017,3.95,161,168,329,4.5,TRUE
2509,"University Of California, Berkeley",5,CS,PhD,Accepted,I,2012,3.9,160,165,325,3.5,TRUE
2510,Ohio State University (OSU),3.4,CS,PhD,Accepted,I,2013,3.5,146,167,313,3.5,TRUE
2511,The University Of Arizona,3.1,CS,PhD,Accepted,A,2018,3.47,159,165,324,4.5,TRUE
2512,Stanford University,5,CS,Masters,Rejected,I,2015,3.9,163,167,330,4.5,TRUE
2513,University Of Wisconsin - Madison,4.1,CS,Masters,Rejected,I,2018,3.75,163,164,327,4.5,TRUE
2514,Columbia University,4.1,CS,PhD,Rejected,A,2017,3.6,162,166,328,4,TRUE
2515,"University Of California, Irvine",3.4,CS,Masters,Accepted,U,2016,3.8,160,165,325,3.5,TRUE
2516,"Indiana University-Purdue University, Indianapolis (IUPUI)",3.7,CS,Masters,Accepted,I,2017,3.6,143,161,304,3,TRUE
2517,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,U,2016,3.36,164,168,332,4,TRUE
2518,University Of Southern California (USC),3.7,CS,Masters,Rejected,I,2016,3.1,163,166,329,3.5,TRUE
2519,Texas A&M,3.1,CS,Masters,Rejected,I,2016,3.2,161,170,331,5,TRUE
2520,Georgia Institute of Technology (Georgia Tech),4.4,CS,Masters,Rejected,I,2014,3.8,157,168,325,4.5,TRUE
2521,University Of Maryland,4,CS,Masters,Rejected,I,2016,3.7,153,162,315,4.5,TRUE
2522,Columbia University,4.1,CS,PhD,Accepted,I,2015,4,170,169,339,4.5,TRUE
2523,Stanford University,5,CS,PhD,Accepted,I,2016,4,169,157,326,4,TRUE
2524,University Of Maryland,4,CS,PhD,Accepted,A,2013,3.6,165,167,332,4.5,TRUE
2525,Harvard University,4,CS,Masters,Rejected,I,2018,3.69,152,170,322,3.5,TRUE
2526,New York University (NYU),3.4,CS,Masters,Accepted,A,2015,3.15,156,158,314,4,TRUE
2527,"University Of California, Berkeley",5,CS,PhD,Accepted,A,2016,3.59,170,157,327,5,TRUE
2528,Cornell University,4.5,CS,PhD,Rejected,I,2018,3.78,153,167,320,3.5,TRUE
2529,North Carolina State University,3.1,CS,Masters,Accepted,A,2015,3.33,160,158,318,4,TRUE
2530,"University of Massachusetts, Amherst (UMass)",3.7,CS,Masters,Accepted,I,2016,3.8,158,165,323,3.5,TRUE
2531,Carnegie Mellon University (CMU),5,CS,Masters,Accepted,I,2015,3.75,150,170,320,4,TRUE
2532,Oregon State University,2.5,CS,PhD,Rejected,I,2014,3.43,145,160,305,3.5,TRUE
2533,Cornell University,4.5,CS,PhD,Rejected,A,2018,3.71,155,165,320,4,TRUE
2534,University Of Maryland,4,CS,PhD,Accepted,I,2013,3.7,162,150,312,3.5,TRUE
2535,Columbia University,4.1,CS,Masters,Accepted,I,2018,3.6,159,170,329,4.5,TRUE
2536,Yale University,3.7,CS,Masters,Rejected,A,2017,3.4,167,165,332,4.5,TRUE
2537,University of Texas at Austin,4.3,CS,Masters,Rejected,I,2017,3.52,148,162,310,3,TRUE
2538,"The University of Michigan, Ann Arbor",4.2,CS,Masters,Accepted,I,2013,3.6,156,167,323,3.5,TRUE
2539,Boston University,3,CS,Masters,Rejected,U,2012,3.6,154,166,320,4,TRUE
2540,University Of Washington,4.5,CS,PhD,Accepted,A,2018,3.76,166,168,334,4.5,TRUE
2541,North Carolina State University,3.1,CS,PhD,Accepted,I,2018,3.21,152,163,315,3.5,TRUE
2542,"University Of California, San Diego (UCSD)",4,CS,Masters,Accepted,I,2016,4,160,167,327,5,TRUE
2543,University Of Washington,4.5,CS,PhD,Rejected,I,2016,3.51,148,166,314,3.5,TRUE
2544,University of Florida (UF),3,CS,Masters,Accepted,I,2016,3.7,151,163,314,3.5,TRUE
2545,Cornell University,4.5,CS,Masters,Accepted,U,2016,3.7,153,161,314,3.5,TRUE
2546,Purdue University,3.7,CS,PhD,Rejected,A,2013,3.69,155,164,319,4,TRUE
2547,Purdue University,3.7,CS,Masters,Accepted,I,2015,3.3,154,166,320,3,TRUE
2548,University Of Maryland,4,CS,Masters,Accepted,A,2012,3.4,161,163,324,5.5,TRUE
2549,Boston University,3,CS,Masters,Rejected,I,2013,3.95,150,170,320,3,TRUE
2550,Carnegie Mellon University (CMU),5,CS,PhD,Rejected,A,2014,3.2,159,170,329,5,TRUE
2551,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2014,3.2,160,161,321,4.5,TRUE
2552,Rice University,3.7,CS,PhD,Rejected,I,2013,3.92,154,165,319,3.5,TRUE
2553,University of Texas at Austin,4.3,CS,PhD,Rejected,I,2012,3.44,150,159,309,4,TRUE
2554,The University Of Arizona,3.1,CS,PhD,Rejected,I,2018,4,158,165,323,4,TRUE
2555,University of Pennsylvania (UPenn),3.8,CS,Masters,Accepted,A,2016,3.65,162,161,323,5,TRUE
2556,Stanford University,5,CS,PhD,Rejected,I,2014,3,146,170,316,4,TRUE
2557,University Of Maryland,4,CS,Masters,Rejected,I,2013,3.8,160,164,324,4,TRUE
2558,University Of Southern California (USC),3.7,CS,PhD,Accepted,A,2017,3.7,170,158,328,5.5,TRUE
2559,Northeastern University (NEU),3,CS,Masters,Accepted,I,2017,3.62,151,168,319,3,TRUE
2560,Oregon State University,2.5,CS,PhD,Rejected,A,2015,4,155,169,324,3.5,TRUE
2561,Northwestern University,3.4,CS,PhD,Rejected,I,2017,3.7,155,167,322,5,TRUE
2562,"University Of California, Berkeley",5,CS,Masters,Rejected,U,2013,3.79,150,168,318,3,TRUE
2563,Cornell University,4.5,CS,Masters,Rejected,I,2014,3.25,146,164,310,3,TRUE
2564,University of Pennsylvania (UPenn),3.8,CS,Masters,Accepted,A,2017,3.93,164,162,326,5,TRUE
2565,University Of Southern California (USC),3.7,CS,Masters,Accepted,I,2016,3.7,156,166,322,4,TRUE
2566,Carnegie Mellon University (CMU),5,CS,Masters,Rejected,I,2015,4,158,163,321,4.5,TRUE
